Species Name,Class,Order,Family,Genus
Anabas testudineus,Actinopteri,Anabantiformes,Anabantidae,Anabas
Betta splendens,Actinopteri,Anabantiformes,Osphronemidae,Macropodusinae
Oryzias javanicus,Actinopteri,Beloniformes,Adrianichthyidae,Oryziinae
Oryzias latipes,Actinopteri,Beloniformes,Adrianichthyidae,Oryziinae
Oryzias melastigma,Actinopteri,Beloniformes,Adrianichthyidae,Oryziinae
Oryzias sinensis,Actinopteri,Beloniformes,Adrianichthyidae,Oryziinae
Salarias fasciatus,Actinopteri,Blenniiformes,Blenniidae,Salariinae
Lates calcarifer,Actinopteri,Carangaria,Latidae,Lates
Echeneis naucrates,Actinopteri,Carangiformes,Echeneidae,Echeneis
Seriola dumerili,Actinopteri,Carangiformes,Carangidae,Naucratinae
Seriola lalandi,Actinopteri,Carangiformes,Carangidae,Naucratinae
Astyanax mexicanus,Actinopteri,Characiformes,Characidae,Stethaprioninae
Pygocentrus nattereri,Actinopteri,Characiformes,Serrasalmidae,Serrasalminae
Callorhinchus milii,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus
Amphilophus citrinellus,Actinopteri,Cichliformes,Cichlidae,Cichlasomatinae
Astatotilapia calliptera,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Haplochromis burtoni,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Maylandia zebra,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Neolamprologus brichardi,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Oreochromis aureus,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Oreochromis niloticus,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Pundamilia nyererei,Actinopteri,Cichliformes,Cichlidae,Pseudocrenilabrinae
Clupea harengus,Actinopteri,Clupeiformes,Clupeidae,Clupeinae
Denticeps clupeoides,Atinopteri,Clupeiformes,Denticipitidae,Denticeps
Latimeria chalumnae,Coelecanthi,Coelacanthiformes,Latimeriidae,Latimeria
Danio rerio,Actinopteri,Cyprinformes,Danionidae,Danioninae
Carassius auratus,Actinopteri,Cypriniformes,Cyprinidae,Cyprininae
Cyprinus carpio,Actinopteri,Cypriniformes,Cyprinidae,Cyprininae
Sinocyclocheilus anshuiensis,Actinopteri,Cypriniformes,Cyrpinidae,Cyprininae
Sinocyclocheilus grahami,Actinopteri,Cypriniformes,Cyprinidae,Cyprininae
Sinocyclocheilus rhinocerous,Actinopteri,Cypriniformes,Cyprinidae,Cyprininae
Cyprinodon variegatus,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodontinae
Fundulus heteroclitus,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus
Gambusia affinis,Actinopteri,Cyprinodontiformes,Poeciliidae,Poeciliinae
Kryptolebias marmoratus,Actinopteri,Cyprinodontiformes,Rivulidae,Kryptolebiatinae
Nothobranchius furzeri,Actinopteri,Cyprinodontiformes,Nothobranchiidae,Nothobranchius
Poecilia formosa,Actinopteri,Cyprinodontiformes,Poeciliidae,Poeciliinae
Poecilia latipinna,Actinopteri,Cyprinodontiformes,Poeciliidae,Poeciliinae
